Limbs,Function,Protected
34,bn_subn, 100
34,bn_test0, 60
35,bn_addn, 100
35,bn_copy, 40
35,bn_eq, 80
35,bn_muln, 1220
35,bn_set0, 40
35,bn_sqrn, 1520
35,bn_subn, 100
35,bn_test0, 60
36,bn_addn, 100
36,bn_copy, 40
36,bn_eq, 80
36,bn_muln, 1340
36,bn_set0, 40
36,bn_sqrn, 1640
36,bn_subn, 100
36,bn_test0, 60
37,bn_addn, 100
37,bn_copy, 40
37,bn_eq, 80
37,bn_muln, 1380
37,bn_set0, 40
37,bn_sqrn, 1680
37,bn_subn, 100
37,bn_test0, 60
38,bn_addn, 100
38,bn_copy, 40
38,bn_eq, 80
38,bn_muln, 1460
38,bn_set0, 40
38,bn_sqrn, 1780
38,bn_subn, 100
38,bn_test0, 60
39,bn_addn, 100
39,bn_copy, 40
39,bn_eq, 80
39,bn_muln, 1520
39,bn_set0, 40
39,bn_sqrn, 1860
39,bn_subn, 100
39,bn_test0, 60
40,bn_addn, 100
40,bn_copy, 60
40,bn_eq, 80
40,bn_muln, 1600
40,bn_set0, 40
40,bn_sqrn, 1960
40,bn_subn, 100
40,bn_test0, 60
41,bn_addn, 100
41,bn_copy, 60
41,bn_eq, 80
41,bn_muln, 1660
41,bn_set0, 40
41,bn_sqrn, 2060
41,bn_subn, 100
41,bn_test0, 60
42,bn_addn, 100
42,bn_copy, 60
42,bn_eq, 80
42,bn_muln, 1780
42,bn_set0, 40
42,bn_sqrn, 2180
42,bn_subn, 100
42,bn_test0, 60
43,bn_addn, 100
43,bn_copy, 60
43,bn_eq, 80
43,bn_muln, 1800
43,bn_set0, 40
43,bn_sqrn, 2260
43,bn_subn, 100
43,bn_test0, 60
44,bn_addn, 120
44,bn_copy, 60
44,bn_eq, 80
44,bn_muln, 1920
44,bn_set0, 40
44,bn_sqrn, 2400
44,bn_subn, 120
44,bn_test0, 60
45,bn_addn, 120
45,bn_copy, 60
45,bn_eq, 100
45,bn_muln, 2240
45,bn_set0, 60
45,bn_sqrn, 2680
45,bn_subn, 120
45,bn_test0, 60
46,bn_addn, 120
46,bn_copy, 60
46,bn_eq, 100
46,bn_muln, 2280
46,bn_set0, 60
46,bn_sqrn, 2840
46,bn_subn, 120
46,bn_test0, 60
47,bn_addn, 120
47,bn_copy, 60
47,bn_eq, 100
47,bn_muln, 2360
47,bn_set0, 60
47,bn_sqrn, 3020
47,bn_subn, 120
47,bn_test0, 60
48,bn_addn, 120
